State,Latitude,Longitude
Abia,5.45409529947607,7.5153071
Adamawa,9.512977199417053,12.388188699999999
Akwa Ibom,4.940863799511036,7.8412267
Anambra,6.2183135994341985,6.9531842
Bauchi,10.622828399473097,10.028775399999999
Bayelsa,4.762978599524332,6.028898
Benue,7.35057469939717,8.777287699999999
Borno,12.18753919959776,13.308003399999999
Cross River,5.867196599451846,8.5204774
Delta,5.527306099471514,6.178416699999999
Ebonyi,6.199691799435065,8.0348906
Edo,6.607657499417959,5.9722713
Ekiti,7.736890999391845,5.2738326
Enugu,6.553609399419997,7.4143061
Abuja,8.831122799397733,7.172467300000001
Gombe,10.383009999458512,11.206567
Imo,5.585945599467946,7.0669651
Jigawa,12.325236199610885,9.510329599999999
Kaduna,10.382531799458487,7.853322600000001
Kano,11.894838899570903,8.5364136
Katsina,12.563082499634245,7.6207063
Kebbi,11.416757399530335,4.107454499999999
Kogi,7.79496019939138,6.686866899999999
Kwara,8.836789099397848,4.668848699999999
Lagos,6.526903299421034,3.5774005
Nasarawa,8.438786799392046,8.238284899999998
Niger,9.932608299434758,5.651108799999999
Ogun,6.978858199405861,3.4389293
Ondo,7.0209685994047035,5.0567477
Osun,7.548404699393967,4.497830700000001
Oyo,8.215124899390593,3.5642896999999993
Plateau,9.058344599402849,9.6826289
Rivers,4.841602799518385,6.8604088
Sokoto,13.061119499685718,5.3152203
Taraba,8.0141333993904,10.737633599999999
Yobe,12.123324199591742,11.506593699999998
Zamfara,12.007899799581104,6.4191432
